Who is the author of Les Miserables?,Victor Hugo,Alexandre Dumas,Emile Zola,Gustave Flaubert,Victor Hugo
Who wrote Don Quixote?,Miguel de Cervantes,Gabriel Garcia Marquez,Pablo Neruda,Mario Vargas Llosa,Miguel de Cervantes
Who is the author of The Alchemist?,Paulo Coelho,Gabriel Garcaa Marquez,Jorge Luis Borges,Isabel Allende,Paulo Coelho
Which of the following works is by Mark Twain?,Adventures of Huckleberry Finn,The Adventures of Tom Sawyer,Both,Neither,Both
Who is the author of The Picture of Dorian Gray?,Oscar Wilde,Charles Dickens,Thomas Hardy,William Thackeray,Oscar Wilde
Who wrote Dracula?,Bram Stoker,Mary Shelley,H.G. Wells,Arthur Conan Doyle,Bram Stoker
Which of the following works is by Franz Kafka?,The Metamorphosis,The Trial,Both,Neither,Both
Who wrote Jane Eyre?,Charlotte Bronte,Emily Bronte,Anne Bronte,Mary Shelley,Charlotte Bronte
Who is the author of A Tale of Two Cities?,Charles Dickens,William Makepeace Thackeray,Thomas Hardy,Anthony Trollope,Charles Dickens
"In which work is the quote ""Big Brother is watching you""?",1984,Brave New World,Animal Farm,Fahrenheit 451,1984
What genre does Moby-Dick belong to?,Adventure Novel,Realist Novel,Science Fiction Novel,Fantasy Novel,Adventure Novel
Who is the author of The Road?,Cormac McCarthy,John Steinbeck,Ernest Hemingway,William Faulkner,Cormac McCarthy
Who wrote The Grapes of Wrath?,John Steinbeck,F. Scott Fitzgerald,Mark Twain,Harper Lee,John Steinbeck
Who is the author of The Chronicles of Narnia?,C.S. Lewis,J.R.R. Tolkien,Philip Pullman,George R.R. Martin,C.S. Lewis
Which of the following works is by Fyodor Dostoevsky?,Crime and Punishment,The Brothers Karamazov,Both,Neither,Both
Which of the following is a fantasy work?,The Lord of the Rings,Harry Potter,Both,Neither,Both
Who is the author of Ulysses?,James Joyce,T.S. Eliot,William Faulkner,Franz Kafka,James Joyce
Which work by Mary Shelley is considered one of the first science fiction novels?,Frankenstein,Dracula,The Invisible Man,The War of the Worlds,Frankenstein
"""It was the best of times, it was the worst of times"" is the opening line of which work?",A Tale of Two Cities,Great Expectations,David Copperfield,Oliver Twist,A Tale of Two Cities
Who wrote Of Mice and Men?,John Steinbeck,Harper Lee,William Faulkner,Ernest Hemingway,John Steinbeck
